wd:Q7114633	wd:Q184358	Owen Shoals	reef
wd:Q7427415	wd:Q184358	Saumarez Reefs	reef
wd:Q7171031	wd:Q184358	Perumal Par	reef
wd:Q7441792	wd:Q184358	Sears Rock	reef
wd:Q8025964	wd:Q184358	Winslow Reef	reef
wd:Q6856506	wd:Q184358	Empire Reef	reef
wd:Q10840508	wd:Q184358	North Reef	reef
wd:Q6905773	wd:Q184358	Montgomery Reef	reef
wd:Q18572886	wd:Q184358	Gibraltar Reef	reef
wd:Q7697963	wd:Q184358	Tema Reef	reef
wd:Q7209135	wd:Q184358	Polaris Reef	reef
wd:Q11054299	wd:Q184358	Bun Sha Pai	reef
wd:Q8037675	wd:Q184358	Wreck Reefs	reef
wd:Q10493861	wd:Q184358	Falsterborev	reef
wd:Q10921795	wd:Q184358	Xianshe Yu	reef
wd:Q19880024	wd:Q184358	Tiparra Reef	reef
wd:Q8021089	wd:Q184358	Williams Reef	reef
wd:Q15938081	wd:Q184358	Sandy Cay	reef
wd:Q15726597	wd:Q184358	Kiaulės Nugara	reef
wd:Q9643968	wd:Q184358	$null$	reef
wd:Q20926116	wd:Q184358	Khawr Fasht	reef
wd:Q18595089	wd:Q184358	$null$	reef
wd:Q15115194	wd:Q184358	Horns Rev	reef
wd:Q20917165	wd:Q184358	Fasht Rustan	reef
wd:Q20917200	wd:Q184358	West Spit	reef
wd:Q9394099	wd:Q184358	Adlergrund	reef
wd:Q20922824	wd:Q184358	Mellieħa Rock	reef
wd:Q20926077	wd:Q184358	Fasht Barţufī	reef
wd:Q20926104	wd:Q184358	Fasht al Jārim	reef
wd:Q20926118	wd:Q184358	Ra’s Khuşayfah	reef
wd:Q7107392	wd:Q184358	Osprey Reef	reef
wd:Q20917168	wd:Q184358	Ra’s as Salá	reef
wd:Q20917179	wd:Q184358	Ra's ash Shāb	reef
wd:Q6813749	wd:Q184358	Higgens Reef	reef
wd:Q20922861	wd:Q184358	Outer Munxar Rock	reef
wd:Q20923013	wd:Q184358	Sikka Żonqor	reef
wd:Q7218323	wd:Q184358	Lansdowne Reef	reef
wd:Q20925754	wd:Q184358	Ellis Rock	reef
wd:Q20925938	wd:Q184358	Della Larga Forca	reef
wd:Q20926071	wd:Q184358	As Suhaylah	reef
wd:Q20926093	wd:Q184358	Fasht al Hadbah	reef
wd:Q20917160	wd:Q184358	Ra’s al ‘Ayn	reef
wd:Q7130732	wd:Q184358	Pandora Reef	reef
wd:Q6831601	wd:Q184358	Great Discovery Reef	reef
wd:Q11114497	wd:Q184358	Meijiu Reef	reef
wd:Q20922954	wd:Q184358	Stork Rock	reef
wd:Q20922955	wd:Q184358	Sultan Rock	reef
wd:Q7284694	wd:Q184358	Rainbow Reef	reef
wd:Q6821098	wd:Q184358	Eldad Reef	reef
wd:Q7232022	wd:Q184358	Portland Reef	reef
wd:Q7717546	wd:Q184358	The Big Breaker	reef
wd:Q6855008	wd:Q184358	Ren'ai Reef	reef
wd:Q12718099	wd:Q184358	Røst Reef	reef
wd:Q20922698	wd:Q184358	Ħamrija Bank	reef
wd:Q20922953	wd:Q184358	Il-Merkanti	reef
wd:Q20922962	wd:Q184358	Ta’ Ħammud	reef
wd:Q16490538	wd:Q184358	Cayos Vivorillo	reef
wd:Q20917152	wd:Q184358	Qaşşār al Qulay‘ah	reef
wd:Q20917189	wd:Q184358	Thalb	reef
wd:Q6826224	wd:Q184358	Mexico Rocks	reef
wd:Q15895029	wd:Q184358	Kok Tai Pai	reef
wd:Q20925915	wd:Q184358	Bengħisa Patch	reef
wd:Q20925916	wd:Q184358	Bengħisa Reef	reef
wd:Q15212511	wd:Q184358	Daedalus Reef	reef
wd:Q7438823	wd:Q184358	Scratch My Arse Rock	reef
wd:Q7848437	wd:Q184358	Tryal Rocks	reef
wd:Q20917185	wd:Q184358	Jazīrat Suhaylah	reef
wd:Q7562222	wd:Q184358	Sonora Reef	reef
wd:Q16900818	wd:Q184358	Sudbury Reef	reef
wd:Q20925811	wd:Q184358	Skoll tal-Abjad tal-Prosha	reef
wd:Q21790379	wd:Q184358	Daniel's Island Flat	reef
