c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
sweet:matrCompound/NitrousAcid	nitrous acid	wd:Q211891	nitrous acid	sweet:matrCompound/InorganicAcid	inorganic acid	wd:Q11173|wd:Q16965132|wd:Q408683	chemical compound|monoprotic acid|mineral acid	high		nitrous acid		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/Perchlorate	perchlorate	wd:Q59429667	perchlorate	sweet:matrCompound/InorganicAcid	inorganic acid	wd:Q47154513	structural class of chemical compounds	high		perchlorate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/PerchloricAcid	perchloric acid	wd:Q193956	Perchloric acid	sweet:matrCompound/InorganicAcid	inorganic acid	wd:Q11173	chemical compound	high		perchloric acid		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/PeroxynitricAcid	peroxynitric acid	wd:Q1285205	peroxynitric acid	sweet:matrCompound/InorganicAcid	inorganic acid	wd:Q11173	chemical compound	high		peroxynitric acid		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/Phosphate	phosphate	wd:Q46220103	phosphate	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q47154513	structural class of chemical compounds	high		phosphate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/SiliconDioxide	silicon dioxide	wd:Q116269	silicon dioxide	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q11173|wd:Q189567|wd:Q902638	chemical compound|food additive|excipient	high		silicon dioxide		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/Sulfate	sulfate	wd:Q25997675	sulfate	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q47154513	structural class of chemical compounds	high		sulfate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrCompound/SulfurOxide	sulfur oxide	wd:Q601852	sulfur oxide	sweet:matrCompound/InorganicCompound	inorganic compound	wd:Q47154513	structural class of chemical compounds	high		sulfur oxide		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrElement/Nitrogen	nitrogen	wd:Q627	nitrogen	sweet:matrElement/Element	element	wd:Q11344	chemical element	high		nitrogen		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrElement/Nonmetal	nonmetal	wd:Q19600	nonmetal	sweet:matrElement/Element	element			high		nonmetal		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrEquipment/Infrastructure	infrastructure	wd:Q121359	infrastructure	sweet:matrEquipment/MaterialThing	material thing			high		infrastructure		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrEquipment/Spacecraft	spacecraft	wd:Q40218	spacecraft	sweet:matrEquipment/TransportationEquipment	transportation equipment			high		spacecraft		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrInstrument/GlobalPositioningSystem	global positioning system	wd:Q18822	Global Positioning System			wd:Q20181002	Radionavigation-satellite service	high		global positioning system		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrInstrument/Thermometer	thermometer	wd:Q64570434	Thermometer	sweet:matrInstrument/Instrument	instrument	wd:Q838948|wd:Q93184	work of art|drawing	high		thermometer		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrIon/Nitrate	nitrate	wd:Q49916468	nitrate	sweet:matrIon/Ion	ion	wd:Q47154513	structural class of chemical compounds	high		nitrate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrIsotope/AlphaParticle	alpha particle	wd:Q27896082	alpha particle	sweet:matrParticle/EnergeticParticle	energetic particle	wd:Q11173	chemical compound	high		alpha particle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrIsotope/BetaParticle	beta particle	wd:Q103531	beta particle	sweet:matrParticle/EnergeticParticle	energetic particle	wd:Q186161	ionizing radiation	high		beta particle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrIsotope/Deuterium	deuterium	wd:Q102296	deuterium	sweet:matrIsotope/Isotope	isotope	wd:Q466603|wd:Q878130	isotope of hydrogen|stable isotope	high		deuterium		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrIsotope/Radionuclide	radionuclide	wd:Q192900	radionuclide					high		radionuclide		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrMicrobiota/Flagellate	flagellate	wd:Q30147131	flagellate	sweet:matrMicrobiota/MicrobiotaTaxonomy	microbiota taxonomy	wd:Q3307661|wd:Q7239	eukaryotic cell|organism	high		flagellate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrMicrobiota/SlimeMold	slime mold	wd:Q949817	slime mold	sweet:matrMicrobiota/Mold	mold	wd:Q55983715	group of organisms known by one particular common name	high		slime mold		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrMineral/Calcite	calcite	wd:Q171917	calcite	sweet:matrMineral/Mineral	mineral	wd:Q12089225	mineral species	high		calcite		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Acenaphthene	acenaphthene	wd:Q415103	acenaphthene	sweet:matrOrganicCompound/Hydrocarbon	hydrocarbon	wd:Q11173|wd:Q407212	chemical compound|polycyclic aromatic hydrocarbon	high		acenaphthene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Acenaphthylene	acenaphthylene	wd:Q415128	acenaphthylene	sweet:matrOrganicCompound/Hydrocarbon	hydrocarbon	wd:Q11173|wd:Q407212	chemical compound|polycyclic aromatic hydrocarbon	high		acenaphthylene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Alkane	alkane	wd:Q41581	alkane	sweet:matrOrganicCompound/Hydrocarbon	hydrocarbon	wd:Q47154513	structural class of chemical compounds	high		alkane		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Alkene	alkene	wd:Q81406	alkene	sweet:matrOrganicCompound/Hydrocarbon	hydrocarbon	wd:Q47154513	structural class of chemical compounds	high		alkene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/CalciumCarbonate	calcium carbonate	wd:Q23767	calcium carbonate	sweet:matrOrganicCompound/OrganicCompound	organic compound	wd:Q11173|wd:Q12140|wd:Q27766119|wd:Q902638	chemical compound|medication|calcium salt|excipient	high		calcium carbonate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Carbohydrate	carbohydrate	wd:Q11358	carbohydrate	sweet:matrOrganicCompound/OrganicCompound	organic compound	wd:Q47154513	structural class of chemical compounds	high		carbohydrate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Carbonyl	carbonyl	wd:Q201479	carbonyl	sweet:matrOrganicCompound/OrganicCompound	organic compound	wd:Q56825824	organodiyl group	high		carbonyl		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Chlorofluorocarbon	chlorofluorocarbon	wd:Q960800	chlorofluorocarbon			wd:Q47154513	structural class of chemical compounds	high		chlorofluorocarbon		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/ChlorophyllA	chlorophyll a	wd:Q133878	Chlorophyll a	sweet:matrOrganicCompound/Chlorophyll	chlorophyll	wd:Q11173|wd:Q193430|wd:Q43177	chemical compound|heterocyclic compound|chlorophyll	high		chlorophyll a		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Fluorocarbon	fluorocarbon	wd:Q425094	fluorocarbon	sweet:matrOrganicCompound/OrganicCompound	organic compound			high		fluorocarbon		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Hexachlorocyclohexane	hexachlorocyclohexane	wd:Q424459	Hexachlorocyclohexane	sweet:matrOrganicCompound/OrganicCompound	organic compound	wd:Q15711994	family of isomeric compounds	high		hexachlorocyclohexane		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Hydrocarbon	hydrocarbon	wd:Q43648	hydrocarbon	sweet:matrOrganicCompound/OrganicCompound	organic compound	wd:Q47154513	structural class of chemical compounds	high		hydrocarbon		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/HydrogenCyanide	hydrogen cyanide	wd:Q26075	hydrogen cyanide	sweet:matrOrganicCompound/OrganicCompound	organic compound	wd:Q11173|wd:Q21009053|wd:Q40867	chemical compound|Class IA flammable liquid|poison	high		hydrogen cyanide		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Isoprene	isoprene	wd:Q271943	isoprene	sweet:matrOrganicCompound/Hydrocarbon	hydrocarbon	wd:Q11173|wd:Q192678	chemical compound|diene	high		isoprene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/OrganicCompound	organic compound	wd:Q174211	organic compound	sweet:matrCompound/Compound|sweet:matrOrganicCompound/OrganicSubstance	compound|organic substance	wd:Q17339814	group or class of chemical substances	high		organic compound		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/PeroxyacetylNitrate	peroxyacetyl nitrate	wd:Q3342203	peroxyacetyl nitrate	sweet:matrOrganicCompound/OrganicCompound	organic compound	wd:Q11173|wd:Q20986117	chemical compound|organic peroxide	high		peroxyacetyl nitrate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Pheophytin	pheophytin	wd:Q115237	Pheophytin	sweet:matrOrganicCompound/Chlorophyll	chlorophyll	wd:Q193430	heterocyclic compound	high		pheophytin		[info(label,label,downcase)]	[info(label,label,downcase)]								
