c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
sweet:propSpeed/PhaseVelocity	phase velocity	wd:Q13824	phase velocity	sweet:prop/WaveProperty|sweet:propSpeed/Velocity	wave property|velocity	wd:Q107715	physical quantity	high		phase velocity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propTemperature/BrightnessTemperature	brightness temperature	wd:Q4538627	brightness temperature	sweet:propTemperature/Temperature	temperature	wd:Q4373292	physical property	high		brightness temperature		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propTemperature/GlobalWarmingPotential	global warming potential	wd:Q901028	global warming potential	sweet:propTemperature/Temperature	temperature	wd:Q107715	physical quantity	high		global warming potential		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propTemperatureGradient/TemperatureGradient	temperature gradient	wd:Q554388	temperature gradient	sweet:propQuantity/ThermodynamicQuantity	thermodynamic quantity	wd:Q173582	gradient	high		temperature gradient		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propTime/StartTime	start time	wd:Q24575110	start time	http://www.w3.org/2006/time#Instant		wd:Q1199948	infimum	high		start time		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:propTime/TimeInterval	time interval	wd:Q186081	time interval					high		time interval		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realm/Hydrosphere	hydrosphere	wd:Q83169	hydrosphere	sweet:realm/PlanetaryRealm	planetary realm	wd:Q241284|wd:Q2627400	geosphere|geographic envelope	high		hydrosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realm/PlanetarySurface	planetary surface	wd:Q7201252	planetary surface	sweet:realm/PlanetarySurfaceLevel	planetary surface level			high		planetary surface		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmAstroHelio/Magnetosphere	magnetosphere	wd:Q6915	magnetosphere	sweet:realm/PlanetaryLayer	planetary layer			high		magnetosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmAstroStar/Chromosphere	chromosphere	wd:Q190003	chromosphere	sweet:realmAstroStar/StellarAtmosphere	stellar atmosphere	wd:Q47495022	shell of an astronomical object	high		chromosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmAstroStar/Photosphere	photosphere	wd:Q6372	photosphere	sweet:realmAstroStar/StellarAtmosphere	stellar atmosphere	wd:Q8104	atmosphere	high		photosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmAtmo/Mesopause	mesopause	wd:Q623451	mesopause	sweet:realm/PlanetaryBoundary	planetary boundary	wd:Q26509571	atmospheric or interstellar boundary	high		mesopause		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmAtmo/Stratopause	stratopause	wd:Q205397	stratopause	sweet:realm/PlanetaryBoundary	planetary boundary	wd:Q26509571	atmospheric or interstellar boundary	high		stratopause		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmAtmo/Thermosphere	thermosphere	wd:Q178043	thermosphere	sweet:realmAtmo/AtmosphereLayer	atmosphere layer	wd:Q29653271	atmospheric layer	high		thermosphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmAtmo/Tropopause	tropopause	wd:Q186433	Tropopause	sweet:realm/PlanetaryBoundary	planetary boundary	wd:Q26509571	atmospheric or interstellar boundary	high		tropopause		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmAtmo/Troposphere	troposphere	wd:Q40631	troposphere	sweet:realmAtmo/AtmosphereLayer	atmosphere layer	wd:Q29653271	atmospheric layer	high		troposphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmBiolBiome/Biome	biome	wd:Q101998	biome	sweet:reprSciComponent/Environment	environment			high		biome		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmBiolBiome/Wildlands	wildlands	wd:Q18088915	Wildlands	sweet:realmBiolBiome/TerrestrialBiome	terrestrial biome	wd:Q43501	zoo	high		wildlands		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmClimateZone/IceCapClimate	ice cap climate	wd:Q5985406	ice cap climate	sweet:realmClimateZone/E	e	wd:Q23702033	category in the Köppen climate classification system	high		ice cap climate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmClimateZone/IntertropicalConvergenceZone	intertropical convergence zone	wd:Q753858	Intertropical Convergence Zone	sweet:realmClimateZone/ClimateZoneType	climate zone type	wd:Q82794	geographic region	high		intertropical convergence zone		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmClimateZone/TemperateClimate	temperate climate	wd:Q167466	temperate climate			wd:Q23702033	category in the Köppen climate classification system	high		temperate climate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmClimateZone/TropicalClimate	tropical climate	wd:Q135712	tropical climate			wd:Q23702033	category in the Köppen climate classification system	high		tropical climate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmClimateZone/TropicalMonsoonClimate	tropical monsoon climate	wd:Q863882	tropical monsoon climate	sweet:realmClimateZone/A	a	wd:Q23702033	category in the Köppen climate classification system	high		tropical monsoon climate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmClimateZone/TropicalSavannaClimate	tropical savanna climate	wd:Q113562	tropical savanna climate	sweet:realmClimateZone/A	a	wd:Q23702033	category in the Köppen climate classification system	high		tropical savanna climate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmClimateZone/TundraClimate	tundra climate	wd:Q2459798	tundra climate	sweet:realmClimateZone/E	e	wd:Q23702033	category in the Köppen climate classification system	high		tundra climate		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmCryo/FastIce	fast ice	wd:Q576515	fast ice	sweet:realmCryo/SeaIce	sea ice	wd:Q230855	physical state	high		fast ice		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmCryo/IceField	ice field	wd:Q5985271	Ice Field	sweet:realmCryo/SeaIce	sea ice	wd:Q207628	musical composition	high		ice field		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmGeol/InnerCore	inner core	wd:Q394352	inner core	sweet:realmGeol/Mantle	mantle	wd:Q223557|wd:Q241284	physical object|geosphere	high		inner core		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmGeol/OuterCore	outer core	wd:Q857867	outer core	sweet:realmGeol/Mantle	mantle	wd:Q47495022	shell of an astronomical object	high		outer core		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmGeol/UpperMantle	upper mantle	wd:Q65047066	Upper mantle	sweet:realmGeol/Mantle	mantle	wd:Q2627400	geographic envelope	high		upper mantle		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmHydro/CascadingWater	cascading water	wd:Q62060684	Cascading Water	sweet:matrWater/Groundwater|sweet:realmHydro/HydrosphereFeature	groundwater|hydrosphere feature	wd:Q18219090	woodcut print	high		cascading water		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmHydroBody/BlanketBog	blanket bog	wd:Q4925171	Blanket bog	sweet:realmHydroBody/Bog	bog	wd:Q60029820|wd:Q61484497	FFH-Habitat|priority habitat type	high		blanket bog		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmHydroBody/FramStrait	fram strait	wd:Q82344	Fram Strait	sweet:realmHydroBody/Strait	strait	wd:Q37901	strait	high		fram strait		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmHydroBody/RaisedBog	raised bog	wd:Q13359600	raised bog	sweet:realmHydroBody/Bog	bog	wd:Q2471463	syntaxon	high		raised bog		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmLandCoastal/RiparianZone	riparian zone	wd:Q13360049	riparian zone			wd:Q271669	landform	high		riparian zone		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmLandFluvial/Sabkha	sabkha	wd:Q637600	sabkha	sweet:realmLandFluvial/SaltFlat	salt flat			high		sabkha		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmLandTectonic/ConvergentPlateBoundary	convergent plate boundary	wd:Q58675575	convergent plate boundary			wd:Q12859380	plate boundary	high		convergent plate boundary		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmLandTectonic/LargeIgneousProvince	large igneous province	wd:Q792425	large igneous province					high		large igneous province		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmLandTectonic/PlateBoundary	plate boundary	wd:Q12859380	plate boundary	sweet:realmGeol/GeologicBoundary	geologic boundary			high		plate boundary		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmLandVolcanic/Fumarole	fumarole	wd:Q105880	fumarole	sweet:realmLandVolcanic/Vent	vent			high		fumarole		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmLandVolcanic/Stratovolcano	stratovolcano	wd:Q169358	stratovolcano	sweet:realmLandVolcanic/Volcano	volcano			high		stratovolcano		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmLandVolcanic/SubmarineVolcano	submarine volcano	wd:Q674775	submarine volcano					high		submarine volcano		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmLandform/Landform	landform	wd:Q271669	landform	sweet:realmLandform/LandRegion	land region			high		landform		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/AntarcticCircumpolarCurrent	antarctic circumpolar current	wd:Q55828	Antarctic Circumpolar Current	sweet:realmOceanFeature/EarthOceanCurrent	earth ocean current	wd:Q129558	ocean current	high		antarctic circumpolar current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/ArcticOcean	arctic ocean	wd:Q788	Arctic Ocean	sweet:realmOceanFeature/EarthOcean	earth ocean	wd:Q9430	ocean	high		arctic ocean		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/BenguelaCurrent	benguela current	wd:Q59676	Benguela Current	sweet:realmOceanFeature/EarthEasternBoundaryCurrent|sweet:realmOceanFeature/EarthOceanCurrent	earth eastern boundary current|earth ocean current	wd:Q129558	ocean current	high		benguela current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/BrazilCurrent	brazil current	wd:Q677292	Brazil Current	sweet:realmOceanFeature/EarthWesternBoundaryCurrent	earth western boundary current	wd:Q129558	ocean current	high		brazil current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/CaliforniaCurrent	california current	wd:Q281655	California Current	sweet:realmOceanFeature/EarthEasternBoundaryCurrent	earth eastern boundary current	wd:Q129558	ocean current	high		california current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/CanaryCurrent	canary current	wd:Q213197	Canary Current	sweet:realmOceanFeature/EarthEasternBoundaryCurrent	earth eastern boundary current	wd:Q129558	ocean current	high		canary current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/CaribbeanSea	caribbean sea	wd:Q1247	Caribbean Sea	sweet:realmOceanFeature/EarthOcean	earth ocean	wd:Q165	sea	high		caribbean sea		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/IndianOceanGyre	indian ocean gyre	wd:Q3089262	Indian Ocean Gyre	sweet:phenOceanDynamics/OceanGyre	ocean gyre	wd:Q1250263	ocean gyre	high		indian ocean gyre		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/KamchatkaCurrent	kamchatka current	wd:Q1072729	Kamchatka Current	sweet:phenOceanDynamics/OceanCurrent	ocean current	wd:Q129558	ocean current	high		kamchatka current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/LabradorCurrent	labrador current	wd:Q47954	Labrador Current	sweet:realmOceanFeature/EarthWesternBoundaryCurrent	earth western boundary current	wd:Q129558	ocean current	high		labrador current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/NorthAtlanticCurrent	north atlantic current	wd:Q211798	North Atlantic Current	sweet:realmOceanFeature/EarthWesternBoundaryCurrent	earth western boundary current	wd:Q129558	ocean current	high		north atlantic current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/NorthAtlanticGyre	north atlantic gyre	wd:Q5254916	North Atlantic Gyre	sweet:phenOceanDynamics/OceanGyre	ocean gyre	wd:Q1250263	ocean gyre	high		north atlantic gyre		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/NorthPacificGyre	north pacific gyre	wd:Q3112270	North Pacific Gyre	sweet:phenOceanDynamics/OceanGyre	ocean gyre	wd:Q1250263	ocean gyre	high		north pacific gyre		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/PacificOcean	pacific ocean	wd:Q98	Pacific Ocean	sweet:realmOceanFeature/EarthOcean	earth ocean	wd:Q9430	ocean	high		pacific ocean		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/PeruCurrent	peru current	wd:Q22517194	Peru Current	sweet:realmOceanFeature/EarthEasternBoundaryCurrent	earth eastern boundary current	wd:Q4022	river	high		peru current		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/SouthAtlanticGyre	south atlantic gyre	wd:Q991726	South Atlantic Gyre	sweet:phenOceanDynamics/OceanGyre	ocean gyre	wd:Q1250263	ocean gyre	high		south atlantic gyre		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmOceanFeature/SouthPacificGyre	south pacific gyre	wd:Q3116757	South Pacific Gyre	sweet:phenOceanDynamics/OceanGyre	ocean gyre	wd:Q1250263	ocean gyre	high		south pacific gyre		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmRegion/NorthernHemisphere	northern hemisphere	wd:Q39061	Northern Hemisphere	sweet:realmRegion/NorthLatitudeBand	north latitude band	wd:Q399984	hemisphere of the Earth	high		northern hemisphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmRegion/SouthernHemisphere	southern hemisphere	wd:Q41228	Southern Hemisphere	sweet:realmRegion/SouthLatitudeBand	south latitude band	wd:Q399984	hemisphere of the Earth	high		southern hemisphere		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Alfisol	alfisol	wd:Q304506	Alfisol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		alfisol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Andisol	andisol	wd:Q1038563	Andisol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		andisol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Aridisol	aridisol	wd:Q657884	Aridisol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		aridisol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Cryosol	cryosol	wd:Q20825863	Cryosol			wd:Q10926413	soil type	high		cryosol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Entisol	entisol	wd:Q642404	Entisol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		entisol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Gelisol	gelisol	wd:Q389033	Gelisol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		gelisol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Inceptisol	inceptisol	wd:Q843717	inceptisol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		inceptisol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Mollisol	mollisol	wd:Q1063188	Mollisol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		mollisol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/OrganicMatter	organic matter	wd:Q1783121	organic matter	sweet:realmSoil/SoilLayer	soil layer			high		organic matter		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Paleosol	paleosol	wd:Q2048517	Paleosol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		paleosol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/SoilHorizon	soil horizon	wd:Q878214	soil horizon	sweet:realmSoil/SoilLayer	soil layer			high		soil horizon		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Spodosol	spodosol	wd:Q2311892	Spodosol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		spodosol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Topsoil	topsoil	wd:Q1247456	Topsoil	sweet:realmSoil/SoilLayer	soil layer	wd:Q10926413	soil type	high		topsoil		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Ultisol	ultisol	wd:Q1115789	Ultisol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		ultisol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:realmSoil/Vertisol	vertisol	wd:Q1192084	vertisol	sweet:realmSoil/SoilOrder	soil order	wd:Q10926413	soil type	high		vertisol		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:rela/partOf	part of	wd:Q66305721	part of			wd:Q65932995	inverse property label item	high		part of		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:relaSpace/flattening	flattening	wd:Q212750	flattening			wd:Q126818	dimensionless quantity	high		flattening		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:relaTime/endOf	end of	wd:Q40719766	end of			wd:Q1969448	term	high		end of		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:repr/CoordinateSystem	coordinate system	wd:Q11210	coordinate system	sweet:repr/ReferenceFrame	reference frame			high		coordinate system		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:repr/MeasurementScale	measurement scale	wd:Q1370617	measurement scale					high		measurement scale		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataFormat/BigEndian	big endian	wd:Q23651349	big endian	sweet:reprDataFormat/ByteOrder	byte order	wd:Q339338	endianness	high		big endian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataFormat/GeoTIFF	geotiff	wd:Q1502796	GeoTIFF	sweet:reprDataFormat/Format	format	wd:Q235557	file format	high		geotiff		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataFormat/HDF4	hdf4	wd:Q63065200	HDF4	sweet:reprDataFormat/SelfDescribingFormat	self describing format	wd:Q7397	software	high		hdf4		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataFormat/HDF5	hdf5	wd:Q61080677	HDF5	sweet:reprDataFormat/SelfDescribingFormat	self describing format	wd:Q188860	software library	high		hdf5		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataFormat/LittleEndian	little endian	wd:Q12745768	little endian	sweet:reprDataFormat/ByteOrder	byte order	wd:Q339338	endianness	high		little endian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataFormat/NetCDF	netcdf	wd:Q1361922	NetCDF	sweet:reprDataFormat/SelfDescribingFormat	self describing format	wd:Q235557	file format	high		netcdf		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataModel/DataModel	data model	wd:Q1172480	data model	sweet:reprSciModel/Model	model			high		data model		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataModel/DataStructure	data structure	wd:Q175263	data structure	sweet:repr/Representation	representation			high		data structure		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataProduct/ScaleFactor	scale factor	wd:Q1332997	scale factor	sweet:reprDataProduct/Value	value	wd:Q1413083	parameter	high		scale factor		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataService/Bzip2	bzip2	wd:Q283563	bzip2	sweet:reprDataService/CompressionMethod	compression method	wd:Q877886	compression software	high		bzip2		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprDataService/OPeNDAP	opendap	wd:Q7072878	OPeNDAP	sweet:reprDataService/InterfaceProtocol	interface protocol	wd:Q132364|wd:Q163740	communications protocol|nonprofit organization	high		opendap		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMath/OrderedPair	ordered pair	wd:Q191290	ordered pair	sweet:repr/D|sweet:reprMath/Array	|array	wd:Q246672	mathematical object	high		ordered pair		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathFunction/BinaryFunction	binary function	wd:Q3737844	binary function	sweet:reprMathFunction/DiscreteFunction	discrete function			high		binary function		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathFunction/Cosine	cosine	wd:Q1256164	cosine	sweet:reprMathFunction/TrigonometricFunction	trigonometric function	wd:Q12138960|wd:Q93344	even function|trigonometric function	high		cosine		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathFunction/ExponentialFunction	exponential function	wd:Q168698	exponential function	sweet:reprMathFunction/TranscendentalFunction	transcendental function			high		exponential function		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathFunction/PowerFunction	power function	wd:Q1173515	power function	sweet:reprMathFunction/Function	function			high		power function		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathFunction/PowerLaw	power law	wd:Q428971	power law	sweet:reprMathFunction/PowerFunction	power function	wd:Q214070	physical law	high		power law		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathFunction/TrigonometricFunction	trigonometric function	wd:Q93344	trigonometric function	sweet:reprMathFunction/TranscendentalFunction	transcendental function	wd:Q47279819	type of mathematical function	high		trigonometric function		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathOperation/BinaryOperation	binary operation	wd:Q164307	binary operation	sweet:reprMathOperation/Operation	operation			high		binary operation		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathOperation/PartialDerivative	partial derivative	wd:Q186475	partial derivative	sweet:reprMathOperation/Derivative|sweet:reprMathOperation/VectorFieldOperation	derivative|vector field operation	wd:Q151885	concept	high		partial derivative		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathOperation/Subtraction	subtraction	wd:Q40754	subtraction	sweet:reprMathOperation/BinaryOperation	binary operation	wd:Q164307	binary operation	high		subtraction		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathOperation/UnaryOperation	unary operation	wd:Q657596	unary operation	sweet:reprMathOperation/Operation	operation			high		unary operation		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathSolution/DynamicProgramming	dynamic programming	wd:Q28916646	dynamic programming	sweet:reprMathSolution/Solution	solution	wd:Q188267	programming paradigm	high		dynamic programming		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathSolution/TaylorSeries	taylor series	wd:Q131187	Taylor series	sweet:reprMathSolution/Expansion|sweet:reprMathSolution/NumericalSolution	expansion|numerical solution			high		taylor series		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprMathStatistics/OrdinaryLeastSquares	ordinary least squares	wd:Q2912993	ordinary least squares	sweet:reprMathStatistics/Regression	regression	wd:Q74304	least squares method	high		ordinary least squares		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciLaw/BernoulliTheorem	bernoulli theorem	wd:Q6141847	Bernoulli theorem	sweet:reprSciLaw/PhysicalLaw	physical law	wd:Q65943	theorem	high		bernoulli theorem		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciLaw/IdealGasLaw	ideal gas law	wd:Q191785	ideal gas law	sweet:reprSciLaw/PhysicalLaw	physical law	wd:Q379231	gas law	high		ideal gas law		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciLaw/PhysicalLaw	physical law	wd:Q214070	physical law	sweet:repr/Knowledge	knowledge			high		physical law		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciModel/ScientificModel	scientific model	wd:Q193946	scientific model					high		scientific model		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/LogarithmicUnit	logarithmic unit	wd:Q17342348	logarithmic unit	sweet:reprSciUnits/Unit	unit			high		logarithmic unit		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/arcsecond	arcsecond	wd:Q829073	arcsecond	sweet:reprSciUnits/UnitDerivedByScaling	unit derived by scaling	wd:Q13587321|wd:Q22066399	unit of angle|subdivision of degree	high		arcsecond		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/dimensionlessUnit	dimensionless unit	wd:Q1618549	dimensionless unit	sweet:reprSciUnits/BaseUnit	base unit			high		dimensionless unit		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/gigahertz	gigahertz	wd:Q3276763	gigahertz	sweet:reprSciUnits/UnitDerivedByScaling	unit derived by scaling	wd:Q47574	unit of measurement	high		gigahertz		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/hecto	hecto	wd:Q152512	hecto	sweet:reprSciUnits/Prefix	prefix	wd:Q131299	SI prefix	high		hecto		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/joulePerKelvin	joule per kelvin	wd:Q21393312	joule per kelvin	sweet:reprSciUnits/UnitDefinedByProduct	unit defined by product	wd:Q208469	SI derived unit	high		joule per kelvin		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/joulePerKilogram	joule per kilogram	wd:Q57175225	joule per kilogram	sweet:reprSciUnits/UnitDefinedByProduct	unit defined by product	wd:Q208469|wd:Q47574	SI derived unit|unit of measurement	high		joule per kilogram		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/joulePerTesla	joule per tesla	wd:Q21088638	joule per tesla	sweet:reprSciUnits/UnitDefinedByProduct	unit defined by product	wd:Q208469|wd:Q47574	SI derived unit|unit of measurement	high		joule per tesla		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/kilohertz	kilohertz	wd:Q2143992	kilohertz	sweet:reprSciUnits/UnitDerivedByScaling	unit derived by scaling	wd:Q47574	unit of measurement	high		kilohertz		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/metre	metre	wd:Q11573	metre	sweet:reprSciUnits/BaseUnit	base unit	wd:Q1978718|wd:Q223662	unit of length|SI base unit	high		metre		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/pascalSecond	pascal second	wd:Q21016931	pascal second	sweet:reprSciUnits/UnitDefinedByProduct	unit defined by product	wd:Q208469|wd:Q47574	SI derived unit|unit of measurement	high		pascal second		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/radianPerSecond	radian per second	wd:Q1063756	radian per second	sweet:reprSciUnits/UnitDefinedByProduct	unit defined by product	wd:Q208469|wd:Q22137108	SI derived unit|unit of angular velocity	high		radian per second		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/radianPerSecondSquared	radian per second squared	wd:Q30338333	radian per second squared	sweet:reprSciUnits/UnitDefinedByProduct	unit defined by product	wd:Q208469	SI derived unit	high		radian per second squared		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/steradian	steradian	wd:Q177612	steradian	sweet:reprSciUnits/BaseUnit	base unit	wd:Q1618549|wd:Q208469	dimensionless unit|SI derived unit	high		steradian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSciUnits/volumeRatio	volume ratio	wd:Q1647035	volume ratio	sweet:reprSciUnits/BaseUnit	base unit	wd:Q107715	physical quantity	high		volume ratio		[info(label,label,downcase)]	[info(label,label,downcase)]								
