c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
wd:Q12045499	planetary mantle	obo:ENVO_01000640	planetary mantle	wd:Q47495022	shell of an astronomical object	obo:ENVO_01000639	planetary structural layer	high		planetary mantle		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1205140	barrier island	obo:ENVO_1000751	barrier island	wd:Q23442	island	obo:ENVO_1000750	depositional island	high		barrier island		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q12054316	sulphur spring	obo:ENVO_00000126	sulfur spring	wd:Q124714	spring	obo:ENVO_00000027	spring	high		sulphur spring		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q12144897	industrial building	obo:ENVO_00003861	industrial building	wd:Q41176	building	obo:ENVO_00000073	building	high		industrial building		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q121742	storm surge	obo:ENVO_01000714	storm surge	wd:Q23384|wd:Q8068	tide|flood	obo:ENVO_01000711	coastal flood	high		storm surge		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q121750	gas giant	obo:ENVO_01001124	giant gas planet	wd:Q21857994	giant planet	obo:ENVO_01001122	gas planet	high		gas giant		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q1229765	watercraft	obo:ENVO_01000613	watercraft	wd:Q42889|wd:Q50380212	vehicle|floating object	obo:ENVO_01000604	vehicle	high		watercraft		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q12323	dam	obo:ENVO_00000074	dam	wd:Q1411945|wd:Q15324|wd:Q2466889	civil engineering construction|body of water|hydraulic structure	obo:ENVO_01000467	constructed barrier	high		dam		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q1233637	river mouth	obo:ENVO_00000386	river mouth	wd:Q35145263	natural geographic object	obo:ENVO_00000385|obo:ENVO_00000022	stream mouth|river	high		river mouth		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q123991	steppe	obo:ENVO_00000262	steppe	wd:Q1006733	grassland	obo:ENVO_00000106	grassland area	high		steppe		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1242130	ballast tank	obo:ENVO_01000873	ballast tank	wd:Q17007432	compartment	obo:ENVO_00003074	manufactured product	high		ballast tank		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q124695	wax	obo:ENVO_01000575	wax	wd:Q79529	chemical substance	obo:ENVO_00010483	environmental material	high		wax		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1247655	pancake ice	obo:ENVO_03000067	pancake ice	wd:Q23392	ice	obo:ENVO_03000066	sea ice floe	high		pancake ice		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q12487785	Tidewater glacier	obo:ENVO_00000456	tidewater glacier	wd:Q35666	glacier	obo:ENVO_00000133	glacier	high		tidewater glacier		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q125928	climate change	obo:ENVO_01000629	climate change	wd:Q1150070|wd:Q2144359	change|environmental issue	obo:ENVO_02500000	environmental system process	high		climate change		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1259526	radiant energy	obo:ENVO_2000030	radiant energy	wd:Q28735213	wave energy	obo:ENVO_2000016|obo:ENVO_2000028	potential energy|mechanical wave energy	high		radiant energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q12599	ice sheet	obo:ENVO_00000132	ice sheet	wd:Q878077	ice cap	obo:ENVO_00000133	glacier	high		ice sheet		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q12743	ford	obo:ENVO_00000411	ford	wd:Q34442|wd:Q4350791	road|river crossing	obo:ENVO_00000010	transport feature	high		ford		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q127993	geothermal energy	obo:ENVO_2000034	geothermal energy	wd:Q12705|wd:Q4202245	renewable energy|alternative energy	obo:ENVO_2000032	thermal energy	high		geothermal energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q128207	terrestrial planet	obo:ENVO_01000958	terrestrial planet	wd:Q634	planet	obo:ENVO_01000800	planet	high		terrestrial planet		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q129558	ocean current	obo:ENVO_00000147	ocean current	wd:Q35145263|wd:Q4456944	natural geographic object|current (fluid)	obo:ENVO_01000067|obo:ENVO_00000015	marine current|ocean	high		ocean current		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q1296340	effusive eruption	obo:ENVO_01000656	effusive eruption	wd:Q7692360	volcanic eruption	obo:ENVO_01000634	volcanic eruption	high		effusive eruption		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q12969754	electromagnetic radiation	obo:ENVO_01001026	electromagnetic radiation	wd:Q18335|wd:Q28728673	radiation|non-material physical substance	obo:ENVO_01001023	radiation	high		electromagnetic radiation		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q130768	smoke	obo:ENVO_01000838	smoke	wd:Q104541|wd:Q1779287	aerosol|lithometeor	obo:ENVO_00010505	aerosol	high		smoke		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q13085	sandstone	obo:ENVO_00002055	sandstone	wd:Q1388725|wd:Q3300024|wd:Q82480	psammite|natural building material|sedimentary rock	obo:ENVO_01000271	clastic sedimentary rock	high		sandstone		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1310961	icefall	obo:ENVO_00000307	icefall	wd:Q35666	glacier	obo:ENVO_01001547|obo:ENVO_00000133	land ice mass|glacier	high		icefall		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q131123	air pollution	obo:ENVO_02500037	air pollution	wd:Q58734	pollution	obo:ENVO_02500036	environmental pollution	high		air pollution		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1313167	iron planet	obo:ENVO_01001142	iron planet	wd:Q128207	terrestrial planet	obo:ENVO_01000958	terrestrial planet	high		iron planet		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q131514	couch	obo:ENVO_01000588	sofa	wd:Q2207370	seat	obo:ENVO_01000589	bench	high		couch		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q131596	farm	obo:ENVO_00000078	farm	wd:Q14788575|wd:Q5890494	rural settlement|homestead	obo:ENVO_01001200	anthropised terrestrial environmental zone	high		farm		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q131734	brewery	obo:ENVO_00003885	brewery	wd:Q1252971|wd:Q4830453	food manufacturer|business	obo:ENVO_00003861	industrial building	high		brewery		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1317637	ice cave	obo:ENVO_01000365	ice cave	wd:Q35509	cave	obo:ENVO_00000067	cave	high		ice cave		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1318740	electric lamp	obo:ENVO_01000572	electric lamp	wd:Q1138737	lamp	obo:ENVO_01000566	lamp	high		electric lamp		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1319360	Ice lens	obo:ENVO_01000279	ice lens	wd:Q23392	ice	obo:ENVO_01001547	land ice mass	high		ice lens		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1319599	ice giant	obo:ENVO_01001127	ice giant	wd:Q21857994	giant planet	obo:ENVO_01000800	planet	high		ice giant		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1320719	proglacial lake	obo:ENVO_00000435	proglacial lake	wd:Q23397|wd:Q55965244	lake|paleolake	obo:ENVO_00000488	glacial lake	high		proglacial lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1321886	explosive eruption	obo:ENVO_01000655	explosive eruption	wd:Q7692360	volcanic eruption	obo:ENVO_01000634	volcanic eruption	high		explosive eruption		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q132814	evaporation	obo:ENVO_02500034	evaporation	wd:Q6452502	Vaporization	obo:ENVO_01000622	vaporisation	high		evaporation		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1330709	arid	obo:ENVO_01000230	arid	wd:Q7937	climate	obo:ENVO_01000203	environmental condition	high		arid		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1335848	black smoker	obo:ENVO_00000218	black smoker	wd:Q867648	hydrothermal vent	obo:ENVO_01000122	marine hydrothermal vent	high		black smoker		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q133833	gravel	obo:ENVO_01000018	gravel	wd:Q2259909|wd:Q22731	dry bulk cargo|stone	obo:ENVO_00010483	environmental material	high		gravel		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1339916	glory	obo:ENVO_01001016	glory	wd:Q29564129	atmospheric optical phenomenon	obo:ENVO_01001009	photometeor	high		glory		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q13418630	landspout	obo:ENVO_01001486	landspout	wd:Q8081	tornado	obo:ENVO_01001482	tornado	high		landspout		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q13426043	volcanic arc	obo:ENVO_00000351	volcanic arc	wd:Q29025902	volcanic landform	obo:ENVO_00000094|obo:ENVO_00000220	volcanic feature|archipelago	high		volcanic arc		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q134851	continental shelf	obo:ENVO_00000223	continental shelf	wd:Q2168243|wd:Q271669	shallow|landform	obo:ENVO_00002000|obo:ENVO_01000298	slope|continental margin	high		continental shelf		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q13584407	grocery store	obo:ENVO_01000984	grocery store	wd:Q213441|wd:Q4830453	shop|business	obo:ENVO_00002222	food shop	high		grocery store		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1362225	warehouse	obo:ENVO_00003963	warehouse	wd:Q41176|wd:Q9158768	building|storage	obo:ENVO_01001222	commercial building	high		warehouse		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1365419	snow field	obo:ENVO_00000146	snow field	wd:Q271669	landform	obo:ENVO_01000352	field	high		snow field		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1365924	mineral spring	obo:ENVO_00000125	mineral spring	wd:Q124714|wd:Q283	spring|water	obo:ENVO_00000027	spring	high		mineral spring		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1368970	volcanic cone	obo:ENVO_00000398	volcanic cone	wd:Q29025902	volcanic landform	obo:ENVO_00000094|obo:ENVO_00000176	volcanic feature|elevation	high		volcanic cone		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q13691	artificial island	obo:ENVO_00000099	artificial island	wd:Q15710804|wd:Q19816755|wd:Q23442|wd:Q28550993	built structure|artificial landform|island|reclaimed land	obo:ENVO_00000098	island	high		artificial island		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q1408288	manufacturing process	obo:ENVO_01000993	manufacturing process	wd:Q10843872	engineering process	obo:ENVO_01000952|obo:OBI_0000011	anthropisation|	high		manufacturing process		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1410542	burrow	obo:ENVO_01000429	burrow	wd:Q56656227|wd:Q699405	animal shelter created by an animal|residence	obo:ENVO_01000009	biotic mesoscopic physical object	high		burrow		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1410668	National Wildlife Refuge	obo:ENVO_00000364	national wildlife refuge	wd:Q1377575	wildlife refuge	obo:ENVO_00000374	wildlife management area	high		national wildlife refuge		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1418211	fire whirl	obo:ENVO_01001484	fire whirl	wd:Q1192097	whirlwind	obo:ENVO_01000755	aeroform	high		fire whirl		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1420	car	obo:ENVO_01000605	car	wd:Q752870	motor vehicle	obo:ENVO_01000601	motor vehicle	high		car		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1421263	stormwater	obo:ENVO_01001267	stormwater	wd:Q752112	surface water	obo:ENVO_00002006	liquid water	high		stormwater		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1422407	plunge pool	obo:ENVO_00000483	plunge pool	wd:Q3253281	pond	obo:ENVO_00000063|obo:ENVO_01001308|obo:ENVO_00000023	water body|hydroform|stream	high		plunge pool		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q14253637	dry lake	obo:ENVO_00000277	dry lake	wd:Q190429|wd:Q4687862	depression|aeolian landform	obo:ENVO_00000309	depression	high		dry lake		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1426151	sheet glass	obo:ENVO_01000483	flat glass	wd:Q11469	glass	obo:ENVO_01000482	soda-lime glass	high		sheet glass		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q14556915	leat	obo:ENVO_00000544	leat	wd:Q12284|wd:Q474	canal|aqueduct	obo:ENVO_00000121	artificial channel	high		leat		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1478740	pycnocline	obo:ENVO_01000259	pycnocline	wd:Q16740861	cline	obo:ENVO_01000258	cline	high		pycnocline		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q14788575	rural settlement	obo:ENVO_01000763	rural settlement	wd:Q486972	human settlement	obo:ENVO_01000762|obo:ENVO_01001200|obo:ENVO_01000772	sparsely populated settlement|anthropised terrestrial environmental zone|rural area	high		rural settlement		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1479008	meteotsunami	obo:ENVO_01000715	meteotsunami	wd:Q165848	wind wave	obo:ENVO_01000689	tsunami	high		meteotsunami		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1479708	vadose zone	obo:ENVO_00000328	vadose zone	wd:Q208791	aquifer	obo:ENVO_01000408	environmental zone	high		vadose zone		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1491559	somma volcano	obo:ENVO_00000350	somma volcano	wd:Q8072	volcano	obo:ENVO_00000247	volcano	high		somma volcano		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1501	swimming pool	obo:ENVO_01000965	constructed swimming pool			obo:ENVO_00000070	construction	high		swimming pool		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q15057366	lava planet	obo:ENVO_01001143	lava planet	wd:Q128207|wd:Q44559|wd:Q5961279	terrestrial planet|extrasolar planet|hypothetical planet	obo:ENVO_01000800	planet	high		lava planet		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q150784	canyon	obo:ENVO_00000169	canyon	wd:Q39816|wd:Q55462971	valley|fluvial landform	obo:ENVO_00000100	valley	high		canyon		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q15104915	mineral deposit	obo:ENVO_01000255	mineral deposit	wd:Q35145263	natural geographic object	obo:ENVO_00000191	solid astronomical body part	high		mineral deposit		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q15120872	lightning strike	obo:ENVO_01000901	lightning strike	wd:Q33741	lightning	obo:ENVO_01000898	atmospheric lightning	high		lightning strike		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q15129745	sub-Earth	obo:ENVO_01001144	sub-Earth	wd:Q128207|wd:Q44559	terrestrial planet|extrasolar planet	obo:ENVO_01000958	terrestrial planet	high		sub-earth		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1515058	island arc	obo:ENVO_00000353	island arc	wd:Q33837	archipelago	obo:ENVO_00000351	volcanic arc	high		island arc		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q151957	guyot	obo:ENVO_00000265	guyot	wd:Q503269	seamount	obo:ENVO_00000264	seamount	high		guyot		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q152095	bathtub	obo:ENVO_01000991	bathtub fixture			obo:ENVO_01000989	plumbing fixture	high		bathtub		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q15242449	wastewater treatment plant	obo:ENVO_00002043	wastewater treatment plant	wd:Q811430	construction	obo:ENVO_00002272	waste treatment plant	high		wastewater treatment plant		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1527595	cobble	obo:ENVO_00002140	cobble	wd:Q8063	rock	obo:ENVO_00000339	piece of rock	high		cobble		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q152810	landfill	obo:ENVO_00000533	landfill	wd:Q17350442|wd:Q2710737	venue|slag heap	obo:ENVO_00002204	anthropogenic contamination feature	high		landfill		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q153938	outhouse	obo:ENVO_01000524	outhouse	wd:Q3044808|wd:Q7857	appendage|toilet	obo:ENVO_00000073	building	high		outhouse		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1542864	uranium ore	obo:ENVO_02000095	uranium ore	wd:Q102798	ore	obo:ENVO_02000094	ore	high		uranium ore		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q154507	speleothem	obo:ENVO_00000327	speleothem	wd:Q15104915	mineral deposit	obo:ENVO_00000339|obo:ENVO_01000255|obo:ENVO_00000067	piece of rock|mineral deposit|cave	high		speleothem		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1549003	plant tissue culture	obo:ENVO_02000009	plant tissue culture	wd:Q2561978|wd:Q3287622	Explant culture|tissue culture	obo:ENVO_02000007	tissue culture	high		plant tissue culture		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1550493	anchor ice	obo:ENVO_01001335	anchor ice	wd:Q23392	ice	obo:ENVO_00000012|obo:ENVO_00000131|obo:ENVO_01000293|obo:ENVO_03000110	hydrographic feature|glacial feature|ice mass|cryoform	high		anchor ice		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q155640	potential energy	obo:ENVO_2000016	potential energy	wd:Q184550|wd:Q9337488	mechanical energy|interval scale of measurement	obo:ENVO_2000015	energy	high		potential energy		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q156030	Liman	obo:ENVO_00000453	liman	wd:Q15324	body of water	obo:ENVO_01000617	lentic water body	high		liman		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q15615109	fish hatchery	obo:ENVO_00000295	fish hatchery	wd:Q2333552	hatchery	obo:ENVO_00000077	agricultural feature	high		fish hatchery		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q156267	lignite	obo:ENVO_2000008	lignite	wd:Q28877	goods	obo:ENVO_02000091	coal	high		lignite		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1567542	mass wasting	obo:ENVO_01000690	mass wasting	wd:Q79782	motion	obo:ENVO_03000010	material transport process	high		mass wasting		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1584134	mound	obo:ENVO_00000180	mound	wd:Q811430	construction	obo:ENVO_00000477	mount	high		mound		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1585022	terminal moraine	obo:ENVO_00000252	terminal moraine	wd:Q2610088	moraine	obo:ENVO_00000177	moraine	high		terminal moraine		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1589116	canopy	obo:ENVO_01001242	canopy	wd:Q391414	architectural element	obo:ENVO_01000355	vegetation layer	high		canopy		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q15964794	paper product	obo:ENVO_00003895	paper product	wd:Q2424752	product	obo:ENVO_00003074	manufactured product	high		paper product		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q159675	tributary	obo:ENVO_00000495	tributary	wd:Q4022	river	obo:ENVO_00000023	stream	high		tributary		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q159719	power station	obo:ENVO_00002214	power plant	wd:Q5302441	energy generating station	obo:ENVO_00003861	industrial building	high		power station		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q159954	caldera	obo:ENVO_00000096	caldera	wd:Q190429|wd:Q29025902	depression|volcanic landform	obo:ENVO_00000094|obo:ENVO_00000514	volcanic feature|crater	high		caldera		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q160066	straw	obo:ENVO_00003869	straw	wd:Q28969364	plant material	obo:ENVO_0010003	agricultural environmental material	high		straw		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q160091	plain	obo:ENVO_00000086	plain	wd:Q271669	landform	obo:ENVO_00000191	solid astronomical body part	high		plain		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q1606926	coastal dune	obo:ENVO_00000416	coastal dune	wd:Q25391	dune	obo:ENVO_00000170|obo:ENVO_00000303	dune|sea coast	high		coastal dune		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q161598	groundwater	obo:ENVO_01001004	groundwater	wd:Q283	water	obo:ENVO_00005792|obo:ENVO_00012408	underground water|aquifer	high		groundwater		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q16237489	coniferous forest	obo:ENVO_01000433	needleleaf forest			obo:ENVO_01001243	forest ecosystem	high		coniferous forest		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q162602	river island	obo:ENVO_00000423	river island	wd:Q202199	inland island	obo:ENVO_00000098|obo:ENVO_00000022	island|river	high		river island		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q163972	eaves	obo:ENVO_01000825	eaves	wd:Q1497384|wd:Q391414	part of building|architectural element	obo:ENVO_01000420	building part	high		eaves		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1640168	stony meteorite	obo:ENVO_00002049	stony meteorite	wd:Q60186	meteorite	obo:ENVO_00002035	meteorite	high		stony meteorite		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q165	sea	obo:ENVO_00000016	sea	wd:Q2221906|wd:Q2507626|wd:Q337567	geographic location|water area|still waters	obo:ENVO_00001999|obo:ENVO_01001319	marine water body|saline water body	high		sea		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q165493	Ground moraine	obo:ENVO_00000251	ground moraine	wd:Q180184	sediment	obo:ENVO_00000177	moraine	high		ground moraine		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1656082	ice rise	obo:ENVO_00009686	ice rise	wd:Q271669	landform	obo:ENVO_00000176|obo:ENVO_00000380	elevation|ice shelf	high		ice rise		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q16562419	political entity	obo:ENVO_00000123	political entity	wd:Q1063239	polity	obo:ENVO_00000004	administrative region	high		political entity		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q165632	dust	obo:ENVO_00002008	dust	wd:Q104541	aerosol	obo:ENVO_01000060|obo:ENVO_01000814	particulate matter|solid environmental material	high		dust		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q16615865	coastal water body	obo:ENVO_02000049	coastal water body	wd:Q30092755	surface water body	obo:ENVO_00001999	marine water body	high		coastal water body		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q16659538	gold mine	obo:ENVO_00002168	gold mine	wd:Q820477	mine	obo:ENVO_00000076	mine	high		gold mine		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q16659620	iron mine	obo:ENVO_02000092	iron mine	wd:Q820477	mine	obo:ENVO_00000076	mine	high		iron mine		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q166620	drainage basin	obo:ENVO_00000291	drainage basin	wd:Q82794	geographic region	obo:ENVO_00000309	depression	high		drainage basin		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q166735	swamp	obo:ENVO_00000233	swamp ecosystem			obo:ENVO_01001209	wetland ecosystem	high		swamp		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q167346	botanical garden	obo:ENVO_00010624	botanical garden	wd:Q1107656|wd:Q13226383|wd:Q31855|wd:Q43229	garden|facility|research institute|organization	obo:ENVO_00000011	garden	high		botanical garden		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q16740861	cline	obo:ENVO_01000258	cline	wd:Q23497981	layer	obo:ENVO_01000281	layer	high		cline		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q167903	landslide	obo:ENVO_00000520	landslide	wd:Q3574985	slide	obo:ENVO_00000191	solid astronomical body part	high		landslide		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q167980	transpiration	obo:ENVO_02500035	transpiration	wd:Q14820652|wd:Q2996394	water transport|biological process	obo:ENVO_03000010	material transport process	high		transpiration		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q16817	karst	obo:ENVO_00000175	karst	wd:Q107425	landscape	obo:ENVO_00000191	solid astronomical body part	high		karst		[info(label,exact,downcase),info(label,label,downcase)]	[info(label,exact,downcase),info(label,label,downcase)]								
wd:Q16869054	Connects	obo:RO_0002176	connects	wd:Q21278897	Wiktionary redirect			high		connects		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q168983	conflagration	obo:ENVO_01000788	conflagration	wd:Q3196|wd:Q3839081	fire|disaster	obo:ENVO_01000786	fire	high		conflagration		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q169358	stratovolcano	obo:ENVO_00000404	stratovolcano	wd:Q8072|wd:Q8502	volcano|mountain	obo:ENVO_00000247	volcano	high		stratovolcano		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q16960315	detritus	obo:ENVO_01001103	detritus	wd:Q947280	psephite	obo:ENVO_01000155	organic material	high		detritus		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q169940	deforestation	obo:ENVO_02500012	deforestation	wd:Q10843872	engineering process	obo:ENVO_02500000	environmental system process	high		deforestation		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q169950	wildfire	obo:ENVO_01000787	wildfire	wd:Q168983	conflagration	obo:ENVO_01000788	conflagration	high		wildfire		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q169994	smog	obo:ENVO_01000842	smog	wd:Q131123	air pollution	obo:ENVO_01000844	fog	high		smog		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q170321	wetland	obo:ENVO_01001209	wetland ecosystem			obo:ENVO_01001110	ecosystem	high		wetland		[info(label,exact,downcase)]	[info(label,exact,downcase)]								
wd:Q17094485	industrial fire	obo:ENVO_01001287	industrial fire	wd:Q168983	conflagration	obo:ENVO_01000786	fire	high		industrial fire		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q171076	biogas	obo:ENVO_01000556	biogas	wd:Q14515877|wd:Q909363	biocombustible|fuel gas	obo:ENVO_01000554	hydrocarbon gas	high		biogas		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q171495	mattress	obo:ENVO_01000590	mattress	wd:Q1762457	bedding	obo:ENVO_01000587	piece of furniture	high		mattress		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q17155155	raised beach	obo:ENVO_00000415	raised beach	wd:Q40080	beach	obo:ENVO_00000091	beach	high		raised beach		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q172645	humus	obo:ENVO_01000000	humus	wd:Q1783121	organic matter	obo:ENVO_01000155|obo:ENVO_01000814|obo:ENVO_00001998	organic material|solid environmental material|soil	high		humus		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q17325117	mega-Earth	obo:ENVO_01001133	mega-Earth	wd:Q634	planet	obo:ENVO_01000958	terrestrial planet	high		mega-earth		[info(label,label,downcase)]	[info(label,label,downcase)]								
wd:Q1749732	environmental monitoring	obo:ENVO_02500041	environmental monitoring	wd:Q2143522	monitoring	obo:ENVO_02500027|obo:OBI_0000011	anthropogenic environmental process|	high		environmental monitoring		[info(label,label,downcase)]	[info(label,label,downcase)]								
