
obo:GAZ_00002837	Pemba Island	obo:ENVO_00000098	island
obo:GAZ_00002898	Lake Gatun	obo:ENVO_00000377	artificial lake
obo:GAZ_00002949	Iberian Peninsula	obo:ENVO_00000305	peninsula
obo:GAZ_00002973	Florida Keys	obo:ENVO_00000220	archipelago
obo:GAZ_00002974	Upper Keys	obo:ENVO_00000220	archipelago
obo:GAZ_00003101	Italian Peninsula	obo:ENVO_00000305	peninsula
obo:GAZ_00003184	Kahoolawe	obo:ENVO_00000098	island
obo:GAZ_00003187	Oahu	obo:ENVO_00000098	island
obo:GAZ_00003188	Kauai	obo:ENVO_00000098	island
obo:GAZ_00003223	Kenai Peninsula	obo:ENVO_00000305	peninsula
obo:GAZ_00003306	Jutland Peninsula	obo:ENVO_00000305	peninsula
obo:GAZ_00003326	Antarctic Peninsula	obo:ENVO_00000305	peninsula
obo:GAZ_00003606	Scandinavian Peninsula	obo:ENVO_00000305	peninsula
obo:GAZ_00003615	Aland Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00003663	Caicos Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00003703	Amery Ice Shelf	obo:ENVO_00000380	ice shelf
obo:GAZ_00003704	Lake Fryxell	obo:ENVO_00000199	meromictic lake
obo:GAZ_00003863	Lake Michigan	obo:ENVO_00000020	lake
obo:GAZ_00003870	Great Basin Desert	obo:ENVO_01001357	desert
obo:GAZ_00003871	Chihuahuan Desert	obo:ENVO_01001357	desert
obo:GAZ_00003948	Lesser Antilles	obo:ENVO_00000220	archipelago
obo:GAZ_00003954	Lucayan Archipelago	obo:ENVO_00000220	archipelago
obo:GAZ_00003992	Chagos Archipelago	obo:ENVO_00000220	archipelago
obo:GAZ_00004001	Grand Cayman	obo:ENVO_00000098	island
obo:GAZ_00004005	Cayman Brac	obo:ENVO_00000098	island
obo:GAZ_00004032	Sahara Desert	obo:ENVO_01000276	ecoregion
obo:GAZ_00004041	Joinville Island Group	obo:ENVO_00000220	archipelago
obo:GAZ_00004042	Dundee Island	obo:ENVO_00000098	island
obo:GAZ_00004044	Joinville Island	obo:ENVO_00000098	island
obo:GAZ_00004045	Weddell Sea	obo:ENVO_00000016	sea
obo:GAZ_00004047	Gerlache Strait	obo:ENVO_00000394	strait
obo:GAZ_00004054	Lake Vanda	obo:ENVO_00000197	endorheic lake
obo:GAZ_00004054	Lake Vanda	obo:ENVO_00000199	meromictic lake
obo:GAZ_00004054	Lake Vanda	obo:ENVO_01001020	hypersaline lake
obo:GAZ_00004101	Nattai River	obo:ENVO_00000022	river
obo:GAZ_00004133	Jardin d'Acclimatation	obo:ENVO_00010625	zoological garden
obo:GAZ_00004246	Bogor Botanical Gardens	obo:ENVO_00010624	botanical garden
obo:GAZ_00004277	Honshu	obo:ENVO_00000098	island
obo:GAZ_00004284	Kyushu	obo:ENVO_00000098	island
obo:GAZ_00004320	Rikugi-en	obo:ENVO_00000562	park
obo:GAZ_00004330	Shikine-jima	obo:ENVO_00000098	island
obo:GAZ_00004336	Aoga-shima	obo:ENVO_00000098	island
obo:GAZ_00004336	Aoga-shima	obo:ENVO_00000247	volcano
obo:GAZ_00004367	Descanso Gardens	obo:ENVO_00010624	botanical garden
obo:GAZ_00004380	Palmer Archipelago	obo:ENVO_00000220	archipelago
obo:GAZ_00004381	Anvers Island	obo:ENVO_00000098	island
obo:GAZ_00004583	Big Rideau Lake	obo:ENVO_00000020	lake
