obo:GAZ_00000321	Norwegian Current	wd:Q1126449	Norwegian Current	obo:GAZ_00000030	Arctic Ocean current	wd:Q129558	ocean current	high		norwegian current		info(label-label,rdf(obo:GAZ_00000321,rdfs:label,Norwegian Current)-rdf(wd:Q1126449,rdfs:label,Norwegian Current),downcase)									
obo:GAZ_00000322	East Greenland Current	wd:Q143660	East Greenland Current	obo:GAZ_00000030|obo:GAZ_00000377	Arctic Ocean current|North Atlantic Ocean	wd:Q129558	ocean current	high		east greenland current		info(label-label,rdf(obo:GAZ_00000322,rdfs:label,East Greenland Current)-rdf(wd:Q143660,rdfs:label,East Greenland Current),downcase)									
obo:GAZ_00000323	Arctic Ocean	wd:Q788	Arctic Ocean	obo:GAZ_00051067	Arctic Ocean region	wd:Q9430	ocean	high		arctic ocean		info(label-label,rdf(obo:GAZ_00000323,rdfs:label,Arctic Ocean)-rdf(wd:Q788,rdfs:label,Arctic Ocean),downcase)									
obo:GAZ_00000326	Brazil Current	wd:Q677292	Brazil Current	obo:GAZ_00000378	South Atlantic Ocean	wd:Q129558	ocean current	high		brazil current		info(label-label,rdf(obo:GAZ_00000326,rdfs:label,Brazil Current)-rdf(wd:Q677292,rdfs:label,Brazil Current),downcase)									
obo:GAZ_00000330	Caribbean Current	wd:Q1255913	Caribbean Current	obo:GAZ_00000377	North Atlantic Ocean	wd:Q129558	ocean current	high		caribbean current		info(label-label,rdf(obo:GAZ_00000330,rdfs:label,Caribbean Current)-rdf(wd:Q1255913,rdfs:label,Caribbean Current),downcase)									
obo:GAZ_00000331	Canary Current	wd:Q213197	Canary Current			wd:Q129558	ocean current	high		canary current		info(label-label,rdf(obo:GAZ_00000331,rdfs:label,Canary Current)-rdf(wd:Q213197,rdfs:label,Canary Current),downcase)									
obo:GAZ_00000334	Labrador Current	wd:Q47954	Labrador Current	obo:GAZ_00000377	North Atlantic Ocean	wd:Q129558	ocean current	high		labrador current		info(label-label,rdf(obo:GAZ_00000334,rdfs:label,Labrador Current)-rdf(wd:Q47954,rdfs:label,Labrador Current),downcase)									
obo:GAZ_00000335	North Atlantic Current	wd:Q211798	North Atlantic Current	obo:GAZ_00000377	North Atlantic Ocean	wd:Q129558	ocean current	high		north atlantic current		info(label-label,rdf(obo:GAZ_00000335,rdfs:label,North Atlantic Current)-rdf(wd:Q211798,rdfs:label,North Atlantic Current),downcase)									
obo:GAZ_00000336	West Greenland Current	wd:Q1260903	West Greenland Current	obo:GAZ_00000377	North Atlantic Ocean	wd:Q129558	ocean current	high		west greenland current		info(label-label,rdf(obo:GAZ_00000336,rdfs:label,West Greenland Current)-rdf(wd:Q1260903,rdfs:label,West Greenland Current),downcase)									
obo:GAZ_00000337	Portugal Current	wd:Q1263337	Portugal Current	obo:GAZ_00000377	North Atlantic Ocean	wd:Q129558	ocean current	high		portugal current		info(label-label,rdf(obo:GAZ_00000337,rdfs:label,Portugal Current)-rdf(wd:Q1263337,rdfs:label,Portugal Current),downcase)									
obo:GAZ_00000338	Aleutian Current	wd:Q1243936	Aleutian Current	obo:GAZ_00000345	Pacific Ocean current	wd:Q129558	ocean current	high		aleutian current		info(label-label,rdf(obo:GAZ_00000338,rdfs:label,Aleutian Current)-rdf(wd:Q1243936,rdfs:label,Aleutian Current),downcase)									
obo:GAZ_00000340	North Brazil Current	wd:Q6979551	North Brazil Current	obo:GAZ_00000377	North Atlantic Ocean	wd:Q129558	ocean current	high		north brazil current		info(label-label,rdf(obo:GAZ_00000340,rdfs:label,North Brazil Current)-rdf(wd:Q6979551,rdfs:label,North Brazil Current),downcase)									
